Customer Name,Site Name,Customer Code,Date,Transaction type,Process type,Quantity,ID Processed,Total Notes,Total Coins,Total Cash,€ 500,€ 200,€ 100,€ 50,€ 20,€ 10,€ 5,€ 2.00,€ 1.00,€ 0.50,€ 0.20,€ 0.10,€ 0.05,€ 0.02,€ 0.01,Mixed Coin,BIC,IBAN,PAYDAY
DSG Retail Ireland Limited,Currys Mahon Point,1337,06/02/2016,CASH PROCESSED,Standard Processing,1,757027294249,"11,900.00",0.00,"11,900.00",0.00,800.00,0.00,"10,500.00",600.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UB,,3
DSG Retail Ireland Limited,Currys Mahon Point,1337,09/02/2016,CASH PROCESSED,Standard Processing,1,757027294232,"29,630.00",0.00,"29,630.00",500.00,400.00,0.00,"26,650.00","2,080.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UB,,3
DSG Retail Ireland Limited,Currys Mahon Point,1337,11/02/2016,CASH PROCESSED,Standard Processing,1,757027294256,"13,120.00",0.00,"13,120.00",0.00,0.00,100.00,"12,500.00",520.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UB,,3
DSG Retail Ireland Limited,Currys Mahon Point,1337,13/02/2016,CASH PROCESSED,Standard Processing,1,757027294263,"17,670.00",0.00,"17,670.00",0.00,0.00,0.00,"16,550.00","1,120.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UB,,3
DSG Retail Ireland Limited,Currys Mahon Point,1337,16/02/2016,CASH PROCESSED,Standard Processing,1,757027294270,"24,290.00",0.00,"24,290.00",0.00,0.00,200.00,"21,150.00","2,940.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UB,,3
DSG Retail Ireland Limited,"Currys Meath, Navan Retail Park",1328,09/02/2016,CASH PROCESSED,Standard Processing,1,757028142143,"18,550.00",0.00,"18,550.00",0.00,0.00,300.00,"16,450.00","1,800.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UB,,3
DSG Retail Ireland Limited,"Currys Sligo, Sligo Retail Park",1329,09/02/2016,CASH PROCESSED,Standard Processing,1,757013275009,"20,580.00",0.00,"20,580.00",0.00,0.00,400.00,"19,100.00","1,080.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UB,,3
DSG Retail Ireland Limited,"Currys Sligo, Sligo Retail Park",1329,15/02/2016,CASH PROCESSED,Standard Processing,1,757013275030,"17,730.00",0.00,"17,730.00",0.00,0.00,100.00,"15,000.00","2,000.00",630.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UB,,3
DSG Retail Ireland Limited,"Currys Sligo, Sligo Retail Park",1329,15/02/2016,CASH PROCESSED,Standard Processing,1,757017167973,"10,120.00",0.00,"10,120.00","1,000.00",0.00,300.00,"8,150.00",580.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UB,,3
DSG Retail Ireland Limited,Currys SS Carrickmines,1330,10/02/2016,CASH PROCESSED,Standard Processing,1,757021592358,"6,300.00",0.00,"6,300.00",0.00,200.00,0.00,"6,000.00",100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UB,,3
DSG Retail Ireland Limited,Currys SS Carrickmines,1330,16/02/2016,CASH PROCESSED,Standard Processing,1,757021592334,"5,050.00",0.00,"5,050.00",0.00,0.00,100.00,"4,450.00",500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UB,,3
DSG Retail Ireland Limited,Currys Swords Pavlion,4362,10/02/2016,CASH PROCESSED,Standard Processing,1,757021833857,"5,580.00",0.00,"5,580.00",0.00,0.00,0.00,"4,800.00",780.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UB,,3
DSG Retail Ireland Limited,Currys Tallaght Square Sc Level 3,1324,10/02/2016,CASH PROCESSED,Standard Processing,1,757028391411,"19,570.00",0.00,"19,570.00",0.00,200.00,100.00,"16,550.00","2,720.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UB,,3
DSG Retail Ireland Limited,Dixons T1 Airport,1370,06/02/2016,CASH PROCESSED,Standard Processing,1,757020829301,"10,250.00",0.00,"10,250.00",0.00,0.00,200.00,"7,550.00","2,500.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UB,,3
DSG Retail Ireland Limited,Dixons T1 Airport,1370,09/02/2016,CASH PROCESSED,Standard Processing,1,757020829332,"18,250.00",0.00,"18,250.00",0.00,0.00,700.00,"14,650.00","2,900.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UB,,3
DSG Retail Ireland Limited,Dixons T1 Airport,1370,13/02/2016,CASH PROCESSED,Standard Processing,1,757020829349,"6,390.00",0.00,"6,390.00",500.00,0.00,100.00,"4,550.00","1,140.00",100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UB,,3
DSG Retail Ireland Limited,Dixons T2 Dublin Airport,1371,06/02/2016,CASH PROCESSED,Standard Processing,1,757028979602,"2,050.00",0.00,"2,050.00",500.00,0.00,100.00,"1,150.00",300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UB,,3
DSG Retail Ireland Limited,Dixons T2 Dublin Airport,1371,10/02/2016,CASH PROCESSED,Standard Processing,1,757028979565,"13,550.00",0.00,"13,550.00",0.00,0.00,400.00,"10,550.00","2,600.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UB,,3
DSG Retail Ireland Limited,Dixons T2 Dublin Airport,1371,13/02/2016,CASH PROCESSED,Standard Processing,1,757028979589,"7,270.00",0.00,"7,270.00",0.00,0.00,300.00,"4,850.00","2,020.00",100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UB,,3
DSG Retail Ireland Limited,"PC World Airside, Swords",2946,06/02/2016,CASH PROCESSED,Standard Processing,1,757025735034,"17,970.00",0.00,"17,970.00",0.00,0.00,100.00,"14,950.00","2,920.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UB,,
DSG Retail Ireland Limited,PC World Carickmines,2947,09/02/2016,CASH PROCESSED,Standard Processing,1,757021592310,"29,700.00",0.00,"29,700.00",0.00,600.00,700.00,"27,300.00","1,100.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UB,,3
DSG Retail Ireland Limited,PC World Dundalk,2948,09/02/2016,CASH PROCESSED,Standard Processing,1,757026417373,"10,050.00",0.00,"10,050.00",0.00,200.00,0.00,"8,850.00","1,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UB,,3
DSG Retail Ireland Limited,PC World Jervis Street,2949,06/02/2016,CASH PROCESSED,Standard Processing,1,757028930368,"21,800.00",0.00,"21,800.00",0.00,0.00,100.00,"19,200.00","2,500.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UB,,3
